month,yhat,AQI
2024-10,6.128059130424217,5.78118785889077
2024-11,5.504497702438572,5.192922360791106
2024-12,5.787764642473379,5.4601553230880935
2025-01,4.737094072898345,4.468956672545609
2025-02,3.434910584233586,3.240481683239232
2025-03,2.1445858385685233,2.0231941873287957
2025-04,1.0201287865775135,0.9623856477146354
2025-05,-0.15178245319358571,
2025-06,-1.537833849739114,
2025-07,-2.6359532001241575,
2025-08,-3.972565259694518,
2025-09,-5.205026712412795,
2025-10,-6.295390052261738,
2025-11,-7.564151918025149,
